loan_id,customer_id,origination_date,maturity_date,region,country,industry,customer_segment,loan_product,loan_amount,outstanding_balance,interest_rate,term_months,credit_score,annual_revenue_m,collateral_value,ltv,debt_service_coverage_ratio,payment_status,days_past_due,risk_score,risk_bucket,default_flag
L100386,C1280,2024-08-09,2028-08-09,Asia-Pacific,China,Technology,SME,Equipment Finance,314967.65,245655.78,0.0693,48,605.0,3.56,419684.42,0.585,1.5,Late 30,53,57.1,Elevated,0
L100387,C1318,2024-06-17,2027-06-17,Latin America,Chile,Retail,SME,Working Capital,358230.85,230760.84,0.1138,36,682.0,4.71,511250.82,0.451,0.93,Current,0,44.2,Moderate,0
L100388,C1233,2025-04-27,2030-04-27,North America,United States,Technology,Enterprise,Leasing,2104903.26,1883501.23,0.032,60,750.0,838.59,2172914.69,0.867,2.2,Late 30,58,54.9,Moderate,0
L100389,C1028,2023-02-11,2028-02-11,Middle East & Africa,South Africa,Energy,Mid-Market,Trade Finance,1130016.01,764244.81,0.0835,60,658.0,115.12,1691718.26,0.452,1.82,Late 60,64,60.8,Elevated,0
L100390,C1228,2023-04-22,2027-04-22,Asia-Pacific,Australia,Manufacturing,SME,Equipment Finance,124093.61,79374.33,0.0748,48,701.0,9.77,212954.71,0.373,1.37,Current,0,27.9,Low,0
L100391,C1349,2024-03-22,2030-03-22,North America,United States,Construction,Enterprise,Equipment Finance,2666204.92,2278012.99,0.065,72,661.0,591.3,4095399.44,0.556,1.83,Current,0,34.9,Low,0
L100392,C1260,2024-06-24,2027-06-24,Europe,United Kingdom,Retail,Mid-Market,Leasing,1335740.04,888587.4,0.0436,36,732.0,49.44,1311689.66,0.677,2.05,Current,0,25.8,Low,0
L100393,C1100,2025-05-21,2028-05-21,Asia-Pacific,Australia,Manufacturing,SME,Equipment Finance,811622.78,669839.96,0.0801,36,670.0,1.27,1026626.54,0.652,1.38,Late 30,56,53.8,Moderate,0
L100394,C1245,2024-10-26,2028-10-26,North America,United States,Construction,SME,Working Capital,114660.14,86843.92,0.1267,48,564.0,6.91,88580.8,0.98,1.23,Current,0,89.5,High,0
L100395,C1094,2023-06-21,2028-06-21,Europe,United Kingdom,Retail,SME,Leasing,146136.68,104519.98,0.0665,60,667.0,1.34,197476.12,0.529,1.64,Current,0,30.8,Low,0
L100396,C1332,2025-12-28,2030-12-28,Middle East & Africa,Saudi Arabia,Manufacturing,Mid-Market,Equipment Finance,1346926.91,1319988.37,0.0732,60,689.0,17.6,2382190.57,0.554,1.23,Current,0,33.7,Low,0
L100397,C1321,2024-05-21,2026-05-21,North America,United States,Manufacturing,SME,Leasing,170592.77,66631.63,0.0816,24,651.0,4.98,201481.31,0.331,1.5,Late 30,55,51.5,Moderate,0
L100398,C1216,2025-11-24,2032-11-24,Europe,Netherlands,Construction,SME,Project Finance,516839.01,506502.23,0.1035,84,622.0,6.48,528317.37,0.959,1.88,Late 30,40,87.1,High,0
L100399,C1051,2025-12-25,2029-12-25,Europe,Netherlands,Transportation,SME,Project Finance,1004074.55,983993.06,0.0879,48,653.0,4.16,1105968.18,0.89,1.25,Grace Period,20,64.0,Elevated,0
L100400,C1152,2023-02-28,2027-02-28,Europe,France,Manufacturing,Mid-Market,Leasing,530171.56,312373.27,0.051,48,686.0,150.28,704121.63,0.444,1.89,Current,0,25.9,Low,0
L100401,C1045,2024-07-17,2029-07-17,Middle East & Africa,United Arab Emirates,Public Sector,SME,Equipment Finance,104415.07,90256.54,0.053,60,619.0,7.32,151059.51,0.597,1.76,Current,0,30.8,Low,0
L100402,C1291,2024-04-20,2031-04-20,Asia-Pacific,Australia,Technology,Enterprise,Equipment Finance,1630923.57,1333378.6,0.032,84,793.0,411.23,1944657.2,0.686,1.71,Current,0,22.4,Low,0
L100403,C1258,2024-06-28,2029-06-28,North America,Mexico,Retail,SME,Project Finance,607456.69,480626.15,0.0821,60,651.0,12.99,888726.48,0.541,1.47,Default,175,80.7,High,1
L100404,C1098,2023-12-11,2030-12-11,Latin America,Brazil,Retail,Mid-Market,Working Capital,180881.04,150826.24,0.0887,84,664.0,153.06,153842.76,0.98,1.74,Late 60,84,88.1,High,0
L100405,C1325,2024-09-04,2027-09-04,Middle East & Africa,Saudi Arabia,Public Sector,Mid-Market,Working Capital,448662.95,291951.77,0.0433,36,679.0,79.7,514742.12,0.567,1.85,Grace Period,29,20.0,Low,0
L100406,C1288,2024-06-25,2029-06-25,North America,Canada,Technology,Mid-Market,Project Finance,799695.99,628238.66,0.032,60,742.0,35.87,975048.7,0.644,1.94,Current,0,19.0,Low,0
L100407,C1355,2023-07-18,2029-07-18,Middle East & Africa,United Arab Emirates,Energy,SME,Equipment Finance,845125.91,566839.92,0.1093,72,615.0,3.91,942637.61,0.601,1.65,Late 30,39,58.5,Elevated,0
L100408,C1106,2023-11-12,2027-11-12,North America,Mexico,Technology,Enterprise,Working Capital,6697411.68,4523461.98,0.0377,48,750.0,195.74,7740791.83,0.584,1.67,Current,0,17.1,Low,0
L100409,C1066,2023-06-21,2027-06-21,Latin America,Brazil,Manufacturing,Enterprise,Equipment Finance,1877650.22,1161047.98,0.0755,48,714.0,467.54,2863016.77,0.406,1.21,Current,0,29.7,Low,0
L100410,C1182,2025-07-01,2032-07-01,Asia-Pacific,Australia,Transportation,SME,Equipment Finance,378888.15,357409.51,0.1003,84,638.0,2.87,511504.77,0.699,1.75,Late 60,90,71.6,Elevated,0
L100411,C1100,2025-01-14,2028-01-14,Asia-Pacific,India,Manufacturing,SME,Leasing,140275.0,102722.8,0.0918,36,630.0,4.48,210201.33,0.489,1.43,Current,0,39.1,Moderate,0
L100412,C1280,2024-02-08,2028-02-08,North America,Mexico,Technology,Public Sector,Leasing,1406876.84,865199.59,0.032,48,733.0,270.33,1803598.44,0.48,2.37,Current,0,17.1,Low,0
L100413,C1161,2024-03-09,2030-03-09,Middle East & Africa,United Arab Emirates,Manufacturing,Mid-Market,Trade Finance,1793082.13,1385489.36,0.0671,72,704.0,16.95,1998059.82,0.693,1.25,Current,0,36.3,Moderate,0
L100414,C1238,2023-03-28,2029-03-28,North America,Mexico,Energy,SME,Equipment Finance,249047.0,179164.55,0.0693,72,673.0,2.51,432146.59,0.415,1.5,Current,0,31.4,Low,0
L100415,C1065,2023-11-16,2030-11-16,North America,Canada,Energy,SME,Project Finance,511631.64,434299.32,0.102,84,634.0,4.02,822720.58,0.528,1.1,Current,0,48.8,Moderate,0
L100416,C1032,2025-10-04,2031-10-04,North America,Canada,Transportation,Mid-Market,Working Capital,308572.87,301359.4,0.07,72,687.0,56.14,307386.59,0.98,1.45,Current,0,59.8,Elevated,0
L100417,C1356,2023-02-11,2025-02-11,Asia-Pacific,India,Construction,Enterprise,Working Capital,3708873.79,296709.9,0.0893,24,748.0,353.39,5153706.23,0.058,1.18,Current,0,33.9,Low,0
L100418,C1169,2023-06-07,2029-06-07,North America,Mexico,Manufacturing,Mid-Market,Trade Finance,94915.25,72328.75,0.0577,72,641.0,49.04,140627.55,0.514,1.4,Current,0,37.9,Moderate,0
L100419,C1052,2025-07-26,2029-07-26,Middle East & Africa,Saudi Arabia,Public Sector,Public Sector,Leasing,1302066.79,1185235.38,0.032,48,766.0,148.45,1276003.48,0.929,2.07,Late 60,76,65.3,Elevated,0
L100420,C1308,2024-07-09,2029-07-09,Asia-Pacific,China,Public Sector,Mid-Market,Leasing,707803.12,540550.27,0.032,60,686.0,23.61,912707.84,0.592,1.25,Current,0,26.5,Low,0
L100421,C1050,2023-02-10,2027-02-10,North America,Canada,Healthcare,SME,Equipment Finance,222493.11,91478.21,0.067,48,643.0,3.95,232775.29,0.393,1.32,Current,0,36.0,Moderate,0
L100422,C1378,2024-06-10,2030-06-10,North America,Canada,Transportation,Mid-Market,Equipment Finance,1599295.31,1262500.61,0.0721,72,700.0,50.82,2337598.48,0.54,1.72,Current,0,26.1,Low,0
L100423,C1146,2025-03-05,2030-03-05,North America,Mexico,Healthcare,SME,Project Finance,1212794.48,1084819.56,0.056,60,662.0,4.54,1940338.65,0.559,1.73,Current,0,26.6,Low,0
L100424,C1177,2024-01-22,2030-01-22,Europe,United Kingdom,Manufacturing,SME,Leasing,107948.69,86121.84,0.0678,72,626.0,5.89,126964.64,0.678,1.21,Current,0,50.2,Moderate,0
L100425,C1098,2024-02-17,2027-02-17,Asia-Pacific,India,Technology,SME,Leasing,824569.29,395321.25,0.06,36,731.0,7.13,1056659.88,0.374,1.66,Current,0,17.1,Low,0
L100426,C1032,2024-11-13,2027-11-13,North America,Canada,Manufacturing,SME,Equipment Finance,142998.03,115658.02,0.0661,36,707.0,8.39,170263.5,0.679,1.23,Current,0,35.2,Moderate,0
L100427,C1155,2024-10-12,2028-10-12,Middle East & Africa,Saudi Arabia,Retail,Enterprise,Leasing,5493135.13,4671288.8,0.0805,48,651.0,324.08,7172439.71,0.651,1.67,Late 60,76,64.1,Elevated,0
L100428,C1139,2025-09-19,2027-09-19,North America,Canada,Retail,SME,Working Capital,195856.85,169594.52,0.103,24,604.0,2.07,251074.97,0.675,1.3,Grace Period,22,53.0,Moderate,0
L100429,C1170,2023-09-03,2028-09-03,Asia-Pacific,China,Public Sector,Mid-Market,Equipment Finance,723655.43,490820.13,0.032,60,745.0,127.59,854958.15,0.574,1.78,Current,0,12.6,Low,0
L100430,C1186,2023-10-27,2027-10-27,Latin America,Chile,Transportation,Mid-Market,Working Capital,420393.92,272540.61,0.108,48,679.0,73.66,460379.72,0.592,1.18,Current,0,39.5,Moderate,0
L100431,C1239,2023-06-16,2028-06-16,Asia-Pacific,India,Technology,Mid-Market,Working Capital,522794.03,399769.37,0.0499,60,770.0,32.09,494553.98,0.808,2.28,Current,0,32.1,Low,0
L100432,C1027,2024-12-07,2026-12-07,Asia-Pacific,China,Retail,Enterprise,Project Finance,7241609.08,4827047.89,0.0592,24,747.0,570.19,10579296.1,0.456,1.36,Current,0,26.2,Low,0
L100433,C1137,2024-08-16,2027-08-16,Middle East & Africa,South Africa,Energy,Enterprise,Equipment Finance,2034166.0,1268995.3,0.0675,36,739.0,930.71,3145896.7,0.403,1.52,Current,0,22.4,Low,0
L100434,C1328,2024-01-24,2029-01-24,North America,United States,Manufacturing,Enterprise,Working Capital,1665712.99,1230485.93,0.0574,60,697.0,1402.31,2005672.09,0.614,1.84,Current,0,23.9,Low,0
L100435,C1361,2025-02-05,2029-02-05,North America,Mexico,Transportation,SME,Equipment Finance,208790.38,181519.82,0.0913,48,677.0,6.42,272127.43,0.667,1.09,Current,0,46.0,Moderate,0
L100436,C1204,2024-02-15,2027-02-15,North America,Canada,Healthcare,Mid-Market,Leasing,359261.73,214323.02,0.032,36,667.0,111.88,484809.15,0.442,1.36,Current,0,30.7,Low,0
L100437,C1139,2023-08-17,2026-08-17,Europe,United Kingdom,Healthcare,Mid-Market,Working Capital,331817.19,125415.4,0.032,36,765.0,27.4,387666.63,0.324,1.58,Current,0,16.2,Low,0
L100438,C1158,2024-08-23,2027-08-23,Asia-Pacific,India,Manufacturing,SME,Working Capital,92157.47,58064.99,0.0885,36,688.0,5.38,109723.65,0.529,1.52,Default,234,71.3,Elevated,1
L100439,C1297,2024-04-16,2029-04-16,Asia-Pacific,India,Transportation,SME,Equipment Finance,255860.19,204991.87,0.0909,60,627.0,4.47,371366.29,0.552,1.18,Late 60,102,76.9,High,0
L100440,C1150,2024-03-21,2027-03-21,Middle East & Africa,South Africa,Energy,SME,Project Finance,776147.11,465289.76,0.1068,36,695.0,6.8,1203108.4,0.387,1.15,Grace Period,28,36.5,Moderate,0
L100441,C1359,2024-05-22,2028-05-22,North America,Mexico,Manufacturing,Mid-Market,Equipment Finance,1039478.05,815442.34,0.0551,48,789.0,157.49,1254233.11,0.65,1.88,Current,0,22.2,Low,0
L100442,C1010,2025-09-25,2030-09-25,Asia-Pacific,India,Manufacturing,Mid-Market,Working Capital,1675295.68,1609461.49,0.0601,60,696.0,67.72,1641650.72,0.98,1.25,Current,0,60.7,Elevated,0
L100443,C1230,2023-08-11,2027-08-11,North America,Mexico,Healthcare,SME,Trade Finance,58878.46,41364.36,0.0473,48,704.0,3.08,95493.65,0.433,1.61,Current,0,19.1,Low,0
L100444,C1197,2023-10-20,2028-10-20,North America,Mexico,Retail,Enterprise,Leasing,3415456.37,2457597.58,0.0447,60,,219.3,3229485.78,0.761,1.24,Current,0,42.7,Moderate,0
L100445,C1171,2024-09-07,2027-09-07,Asia-Pacific,India,Healthcare,Public Sector,Project Finance,4167710.06,2976928.88,0.032,36,762.0,638.08,6573382.08,0.453,2.18,Current,0,16.2,Low,0
L100446,C1180,2023-02-24,2029-02-24,Latin America,Brazil,Transportation,SME,Working Capital,288176.4,212265.13,0.1281,72,601.0,7.56,328294.5,0.647,1.11,Default,149,100.0,High,1
L100447,C1060,2023-06-27,2027-06-27,Europe,Germany,Construction,Public Sector,Project Finance,6291457.86,4201778.93,0.0444,48,726.0,303.65,9997474.39,0.42,2.06,Late 30,56,42.3,Moderate,0
L100448,C1131,2024-09-09,2028-09-09,North America,Mexico,Healthcare,SME,Working Capital,163169.38,137963.48,0.0533,48,685.0,4.44,180092.57,0.766,1.24,Current,0,42.2,Moderate,0
L100449,C1134,2024-07-16,2030-07-16,Europe,Netherlands,Public Sector,Public Sector,Working Capital,1364459.13,1208021.05,0.032,72,820.0,271.55,1768006.85,0.683,2.23,Current,0,17.6,Low,0
L100450,C1250,2024-12-24,2029-12-24,North America,Mexico,Construction,Public Sector,Equipment Finance,1457754.47,1237036.41,0.0517,60,658.0,124.73,2275507.64,0.544,1.47,Current,0,37.5,Moderate,0
L100451,C1227,2023-05-01,2028-05-01,Middle East & Africa,United Arab Emirates,Technology,SME,Working Capital,256317.88,188911.34,0.0872,60,670.0,6.99,275242.88,0.686,1.27,Default,237,83.7,High,1
L100452,C1156,2025-07-20,2031-07-20,Asia-Pacific,Australia,Manufacturing,Enterprise,Equipment Finance,1166522.76,1122821.87,0.0566,72,785.0,231.68,1507722.14,0.745,2.03,Current,0,29.8,Low,0
L100453,C1196,2024-06-23,2026-06-23,North America,Mexico,Manufacturing,Public Sector,Trade Finance,2289271.81,804011.71,0.032,24,739.0,184.07,2065253.44,0.389,1.93,Current,0,19.8,Low,0
L100454,C1217,2023-06-25,2029-06-25,North America,Mexico,Retail,Public Sector,Equipment Finance,2214478.12,1729011.83,0.0347,72,729.0,154.39,2675485.86,0.646,1.58,Grace Period,2,23.3,Low,0
L100455,C1017,2023-12-06,2028-12-06,North America,Canada,Construction,Public Sector,Equipment Finance,1692084.8,1144737.46,0.0599,60,694.0,30.52,2933779.11,0.39,1.63,Current,0,29.0,Low,0
L100456,C1336,2023-09-22,2027-09-22,Latin America,Colombia,Retail,Mid-Market,Project Finance,1566780.83,967355.72,0.1018,48,657.0,46.78,1733794.0,0.558,0.91,Current,0,49.2,Moderate,0
L100457,C1339,2024-05-23,2027-05-23,Europe,United Kingdom,Retail,SME,Equipment Finance,297670.5,181855.26,0.076,36,591.0,3.15,471477.13,0.386,1.09,Current,0,56.4,Elevated,0
L100458,C1138,2024-05-01,2027-05-01,Asia-Pacific,India,Manufacturing,Enterprise,Leasing,5520837.34,3571411.45,0.0423,36,712.0,421.3,7074253.07,0.505,1.81,Late 60,61,49.2,Moderate,0
L100459,C1289,2024-04-20,2031-04-20,Asia-Pacific,Singapore,Public Sector,Mid-Market,Working Capital,3477438.74,3063675.08,0.0335,84,684.0,58.06,3169288.25,0.967,1.4,Current,0,50.7,Moderate,0
L100460,C1151,2024-05-18,2027-05-18,Europe,United Kingdom,Technology,Mid-Market,Equipment Finance,1966453.73,1140803.54,0.0386,36,717.0,173.57,3467487.36,0.329,1.87,Current,0,17.6,Low,0
L100461,C1025,2025-09-28,2028-09-28,North America,Canada,Construction,Mid-Market,Equipment Finance,698247.08,640234.5,0.0737,36,652.0,70.06,736811.81,0.869,1.44,Current,0,59.3,Elevated,0
L100462,C1329,2025-11-02,2030-11-02,Latin America,Chile,Manufacturing,Mid-Market,Leasing,1047386.58,1026438.85,0.0745,60,686.0,71.35,1399892.73,0.733,1.26,Current,0,42.5,Moderate,0
L100463,C1101,2024-06-28,2029-06-28,Europe,United Kingdom,Energy,SME,Equipment Finance,482437.76,372317.09,0.0823,60,647.0,7.48,659076.88,0.565,1.49,Current,0,36.3,Moderate,0
L100464,C1136,2025-11-16,2028-11-16,Europe,Netherlands,Construction,Enterprise,Equipment Finance,2028267.97,1957495.29,0.0613,36,712.0,824.11,2185245.38,0.896,1.29,Current,0,54.6,Moderate,0
L100465,C1218,2025-06-08,2031-06-08,Asia-Pacific,Singapore,Public Sector,SME,Equipment Finance,157127.47,145184.46,0.0453,72,670.0,7.29,185500.32,0.783,1.94,Current,0,34.6,Low,0
L100466,C1166,2025-06-11,2029-06-11,Asia-Pacific,Australia,Transportation,Enterprise,Leasing,2507761.24,2238161.04,0.0598,48,682.0,571.6,3562729.95,0.628,1.32,Late 30,41,54.0,Moderate,0
L100467,C1101,2023-09-22,2029-09-22,Latin America,Colombia,Healthcare,Enterprise,Equipment Finance,5541392.6,4642293.17,0.0388,72,750.0,746.03,6102439.05,0.761,1.54,Current,0,27.7,Low,0
L100468,C1304,2024-04-28,2027-04-28,North America,United States,Healthcare,Mid-Market,Equipment Finance,380548.33,209775.0,0.032,36,756.0,12.88,616780.87,0.34,1.66,Current,0,16.2,Low,0
L100469,C1135,2024-01-09,2026-01-09,Europe,United Kingdom,Retail,Mid-Market,Working Capital,350901.03,67794.82,0.0718,24,697.0,211.8,403113.61,0.168,1.71,Current,0,25.4,Low,0
L100470,C1224,2023-04-28,2028-04-28,Europe,United Kingdom,Technology,SME,Working Capital,250290.44,152317.23,0.0641,60,658.0,14.74,189130.27,0.805,1.69,Current,0,43.1,Moderate,0
L100471,C1252,2023-03-18,2026-03-18,Europe,Netherlands,Technology,Public Sector,Equipment Finance,2299420.32,1321376.88,0.032,36,752.0,263.14,2840039.27,0.465,1.46,Grace Period,26,19.4,Low,0
L100472,C1354,2024-11-06,2028-11-06,North America,Canada,Technology,Enterprise,Equipment Finance,7886986.57,6186787.19,0.032,48,667.0,199.88,8856166.27,0.699,1.9,Current,0,33.0,Low,0
L100473,C1181,2024-04-17,2026-04-17,North America,United States,Healthcare,Mid-Market,Project Finance,790807.44,325850.45,0.045,24,710.0,122.84,1184788.48,0.275,1.32,Current,0,24.0,Low,0
L100474,C1178,2025-06-23,2030-06-23,North America,Mexico,Technology,SME,Working Capital,702566.22,658115.45,0.0696,60,666.0,3.58,758574.6,0.868,1.42,Current,0,50.0,Moderate,0
L100475,C1346,2025-01-02,2031-01-02,Europe,United Kingdom,Technology,SME,Leasing,100343.9,87444.81,0.0614,72,646.0,7.66,90522.49,0.966,1.59,Current,0,58.1,Elevated,0
L100476,C1182,2023-04-03,2029-04-03,Europe,United Kingdom,Public Sector,Mid-Market,Leasing,224049.04,158580.81,0.032,72,693.0,26.18,292871.92,0.541,1.89,Late 30,36,35.5,Moderate,0
L100477,C1113,2025-07-01,2032-07-01,Europe,United Kingdom,Retail,Public Sector,Equipment Finance,2169047.1,2051573.1,0.032,84,720.0,914.57,2997845.99,0.684,2.12,Current,0,26.4,Low,0
L100478,C1016,2024-06-16,2030-06-16,Asia-Pacific,Singapore,Retail,Enterprise,Project Finance,3323355.26,2725727.93,0.05,72,762.0,196.29,4593898.24,0.593,1.76,Current,0,21.2,Low,0
L100479,C1123,2024-09-02,2028-09-02,Europe,Germany,Transportation,SME,Trade Finance,207485.15,171439.67,0.0661,48,699.0,5.74,192158.85,0.892,1.18,Current,0,57.7,Elevated,0
L100480,C1074,2025-11-27,2029-11-27,Europe,Netherlands,Technology,Enterprise,Trade Finance,2160265.06,2087400.41,0.032,48,710.0,128.77,2129148.42,0.98,1.65,Current,0,47.7,Moderate,0
L100481,C1115,2024-12-04,2030-12-04,North America,United States,Construction,Mid-Market,Equipment Finance,865158.69,765212.55,0.0776,72,662.0,56.54,1109156.0,0.69,1.42,Current,0,43.7,Moderate,0
L100482,C1205,2023-01-03,2029-01-03,Europe,Germany,Public Sector,Enterprise,Equipment Finance,2127988.21,1471464.26,0.032,72,735.0,368.75,3269448.69,0.45,1.65,Current,0,12.6,Low,0
L100483,C1199,2023-07-08,2030-07-08,Europe,Netherlands,Transportation,SME,Equipment Finance,419583.09,334246.78,0.0726,84,689.0,11.13,637732.13,0.524,1.26,Current,0,35.6,Moderate,0
L100484,C1071,2024-04-22,2029-04-22,North America,Mexico,Construction,Mid-Market,Equipment Finance,806260.15,677224.18,0.0688,60,688.0,44.55,990649.98,0.684,1.8,Current,0,35.2,Moderate,0
L100485,C1176,2023-02-26,2026-02-26,Europe,United Kingdom,Construction,Public Sector,Equipment Finance,4257077.9,1408699.08,0.0519,36,730.0,465.93,5032081.73,0.28,1.44,Current,0,27.2,Low,0
L100486,C1172,2023-07-08,2030-07-08,Europe,United Kingdom,Transportation,SME,Working Capital,161720.27,128167.03,0.1038,84,678.0,2.91,192826.23,0.665,1.21,Current,0,42.5,Moderate,0
L100487,C1016,2025-05-15,2032-05-15,North America,United States,Construction,Enterprise,Equipment Finance,1982343.89,1832717.09,0.0602,84,691.0,403.01,2062300.84,0.889,1.35,Current,0,56.2,Elevated,0
L100488,C1107,2023-06-22,2028-06-22,Europe,France,Energy,Public Sector,Trade Finance,548154.73,320071.52,0.034,60,792.0,195.53,722241.82,0.443,2.51,Current,0,21.6,Low,0
L100489,C1274,2023-07-23,2029-07-23,Europe,Germany,Technology,SME,Equipment Finance,295449.38,206517.99,0.0521,72,681.0,7.48,395333.13,0.522,1.48,Current,0,25.9,Low,0
L100490,C1007,2024-07-05,2029-07-05,Asia-Pacific,China,Transportation,SME,Equipment Finance,156363.33,132822.15,0.1005,60,625.0,6.91,187528.9,0.708,1.14,Late 60,115,85.3,High,0
L100491,C1114,2023-04-24,2030-04-24,Asia-Pacific,China,Manufacturing,Mid-Market,Project Finance,819479.8,593893.81,0.0766,84,695.0,90.76,1057312.15,0.562,1.27,Current,0,31.6,Low,0
L100492,C1180,2023-10-25,2026-10-25,Asia-Pacific,India,Public Sector,SME,Working Capital,243814.88,169101.99,0.0433,36,737.0,6.49,205505.65,0.823,1.63,Current,0,28.8,Low,0
L100493,C1063,2025-10-21,2031-10-21,Europe,United Kingdom,Transportation,SME,Leasing,87320.94,84602.75,0.0928,72,642.0,8.29,115546.67,0.732,1.46,Current,0,47.8,Moderate,0
L100494,C1245,2024-11-15,2026-11-15,Asia-Pacific,Singapore,Manufacturing,Mid-Market,Working Capital,1209179.3,780803.49,0.0683,24,740.0,33.24,957343.98,0.816,1.23,Late 30,55,61.8,Elevated,0
L100495,C1271,2025-11-11,2029-11-11,Europe,France,Public Sector,Enterprise,Equipment Finance,3805361.28,3679557.52,0.032,48,730.0,610.84,5039324.58,0.73,2.33,Current,0,21.4,Low,0
L100496,C1128,2024-01-25,2027-01-25,Europe,Netherlands,Construction,SME,Equipment Finance,318267.51,199732.12,0.1059,36,621.0,14.91,446471.95,0.447,1.38,Late 60,79,74.5,Elevated,0
L100497,C1087,2024-11-25,2028-11-25,Asia-Pacific,China,Construction,SME,Leasing,134353.54,114347.57,0.1074,48,675.0,1.94,124112.55,0.921,1.42,Grace Period,4,59.9,Elevated,0
L100498,C1295,2023-09-15,2026-09-15,Europe,Germany,Healthcare,Enterprise,Leasing,4052886.29,1474590.6,0.032,36,714.0,650.0,5503973.31,0.268,1.82,Current,0,17.3,Low,0
L100499,C1081,2024-02-21,2031-02-21,Europe,Netherlands,Public Sector,Mid-Market,Working Capital,532157.83,441397.37,0.032,84,753.0,88.24,661331.94,0.667,1.97,Current,0,16.4,Low,0
L100500,C1055,2023-07-12,2028-07-12,Asia-Pacific,India,Healthcare,Enterprise,Equipment Finance,2329932.69,1441603.14,0.032,60,,1187.64,4047221.63,0.356,1.73,Current,0,16.2,Low,0
L100501,C1012,2025-06-21,2031-06-21,Middle East & Africa,United Arab Emirates,Transportation,Mid-Market,Working Capital,598557.93,553013.42,0.1089,72,657.0,90.98,564073.69,0.98,1.65,Current,0,62.6,Elevated,0
L100502,C1034,2023-07-03,2026-07-03,Latin America,Chile,Manufacturing,Public Sector,Project Finance,1564595.67,759145.91,0.0357,36,745.0,244.76,1653029.0,0.459,1.82,Current,0,19.8,Low,0
L100503,C1331,2023-08-26,2025-08-26,Europe,United Kingdom,Transportation,Mid-Market,Equipment Finance,375392.54,107133.97,0.065,24,669.0,75.72,468723.8,0.229,1.55,Current,0,31.7,Low,0
L100504,C1355,2024-05-15,2029-05-15,Europe,France,Construction,SME,Equipment Finance,170479.16,134552.83,0.0943,60,663.0,3.49,287781.27,0.468,1.18,Current,0,44.2,Moderate,0
L100505,C1207,2024-04-17,2029-04-17,Asia-Pacific,Australia,Transportation,Enterprise,Leasing,3186168.74,2343052.07,0.0588,60,794.0,377.38,3839788.55,0.61,1.37,Current,0,27.2,Low,0
L100506,C1350,2023-12-06,2027-12-06,Europe,France,Technology,Mid-Market,Project Finance,1789618.59,1039137.1,0.0397,48,699.0,25.34,2015728.59,0.516,1.85,Current,0,20.9,Low,0
L100507,C1268,2024-01-15,2030-01-15,Middle East & Africa,South Africa,Public Sector,SME,Working Capital,329933.78,270777.17,0.0623,72,710.0,13.83,407760.4,0.664,1.76,Late 30,44,35.9,Moderate,0
L100508,C1154,2023-11-01,2029-11-01,Europe,United Kingdom,Construction,SME,Working Capital,105308.05,78299.69,0.1104,72,651.0,7.27,79865.68,0.98,1.04,Grace Period,26,78.8,High,0
L100509,C1271,2025-09-25,2030-09-25,North America,United States,Energy,Enterprise,Leasing,3630610.1,3504783.49,0.0431,60,729.0,272.0,4761947.72,0.736,1.67,Current,0,30.9,Low,0
L100510,C1159,2024-09-21,2031-09-21,North America,Canada,Retail,SME,Equipment Finance,305599.7,267379.35,0.09,84,654.0,6.51,414895.14,0.644,1.46,Grace Period,29,37.4,Moderate,0
L100511,C1365,2025-10-13,2030-10-13,Middle East & Africa,United Arab Emirates,Construction,SME,Leasing,141694.41,136465.8,0.1288,60,617.0,11.29,193929.16,0.704,1.19,Late 60,82,86.9,High,0
L100512,C1323,2025-12-24,2030-12-24,North America,Mexico,Retail,SME,Equipment Finance,408217.22,400052.88,0.0821,60,673.0,10.18,640217.17,0.625,0.95,Current,0,45.7,Moderate,0
L100513,C1321,2024-12-23,2028-12-23,North America,Canada,Retail,Mid-Market,Working Capital,513031.94,431267.58,0.073,48,681.0,32.63,473908.79,0.91,1.24,Current,0,59.5,Elevated,0
L100514,C1201,2025-06-04,2027-06-04,Europe,France,Retail,Mid-Market,Equipment Finance,672883.93,563902.48,0.0635,24,658.0,8.31,1007517.78,0.56,1.23,Current,0,40.7,Moderate,0
L100515,C1196,2023-04-02,2026-04-02,North America,Mexico,Construction,Mid-Market,Equipment Finance,993090.16,532052.49,0.0767,36,721.0,74.11,1403481.22,0.379,1.44,Current,0,27.2,Low,0
L100516,C1044,2025-11-08,2030-11-08,Europe,United Kingdom,Transportation,SME,Leasing,227127.45,222584.9,0.0824,60,662.0,3.17,227235.53,0.98,1.14,Current,0,72.4,Elevated,0
L100517,C1248,2024-06-01,2029-06-01,Asia-Pacific,Singapore,Manufacturing,SME,Leasing,223967.25,184728.03,0.0879,60,663.0,8.09,349678.87,0.528,1.26,Current,0,37.6,Moderate,0
L100518,C1043,2025-02-17,2029-02-17,North America,Canada,Technology,Mid-Market,Working Capital,419608.01,345927.14,0.042,48,764.0,104.54,522807.51,0.662,1.35,Current,0,25.7,Low,0
L100519,C1205,2023-09-15,2028-09-15,Middle East & Africa,Saudi Arabia,Construction,Mid-Market,Leasing,341009.3,249361.91,0.1162,60,612.0,115.69,542627.84,0.46,1.15,Current,0,54.1,Moderate,0
